αναγνωρίζεις — 2-е лицо, ед. число
επιθυμείτε — 2-е лицо, мн. число
επιλέγεις — 2-е лицо, ед. число
επιλέγουμε — 1-е лицо, мн. число
επιλέγουν — 3-е лицо, мн. число
θυμάμαι — 1-е лицо, ед. число
θυμάται — 3-е лицо, ед. число
θυμάστε — 2-е лицо, мн. число
θυμίζεις — 2-е лицо, ед. число
θυμίζουμε — 1-е лицо, мн. число
θυμίζουν — 3-е лицо, мн. число
καταλαβαίνω — 1-е лицо, ед. число
καταλαβαίνεις — 2-е лицо, ед. число
καταλαβαίνει — 3-е лицо, ед. число
καταλαβαίνουμε — 1-е лицо, мн. число
καταλαβαίνετε — 2-е лицо, мн. число
καταλαβαίνουν — 3-е лицо, мн. число
καταφέρνω — 1-е лицо, ед. число
καταφέρνεις — 2-е лицо, ед. число
καταφέρνει — 3-е лицо, ед. число
καταφέρνουμε — 1-е лицо, мн. число
καταφέρνετε — 2-е лицо, мн. число
καταφέρνουν — 3-е лицо, мн. число
κοιτάζω — 1-е лицо, ед. число
κοιτάζεις — 2-е лицо, ед. число
κοιτάζει — 3-е лицо, ед. число
κοιτάζουμε — 1-е лицо, мн. число
κοιτάζετε — 2-е лицо, мн. число
κοιτάζουν — 3-е лицо, мн. число
κρίνω — 1-е лицо, ед. число
κρίνεις — 2-е лицо, ед. число
κρίνει — 3-е лицо, ед. число
κρίνουμε — 1-е лицо, мн. число
κρίνετε — 2-е лицо, мн. число
κρίνουν — 3-е лицо, мн. число
λύνω — 1-е лицо, ед. число
λύνεις — 2-е лицо, ед. число
λύνει — 3-е лицо, ед. число
λύνουμε — 1-е лицо, мн. число
λύνετε — 2-е лицо, мн. число
λύνουν — 3-е лицо, мн. число
μαθαίνεις — 2-е лицо, ед. число
μαθαίνουμε — 1-е лицо, мн. число
μαθαίνουν — 3-е лицо, мн. число
μαντεύω — 1-е лицо, ед. число
μαντεύεις — 2-е лицо, ед. число
μαντεύει — 3-е лицо, ед. число
μαντεύουμε — 1-е лицо, мн. число
μαντεύετε — 2-е лицо, мн. число
μαντεύουν — 3-е лицо, мн. число
μπορώ — 1-е лицо, ед. число
μπορείς — 2-е лицо, ед. число
μπορεί — 3-е лицо, ед. число
μπορούμε — 1-е лицо, мн. число
μπορείτε — 2-е лицо, мн. число
μπορούν — 3-е лицо, мн. число
νομίζω — 1-е лицо, ед. число
νομίζεις — 2-е лицо, ед. число
νομίζει — 3-е лицо, ед. число
νομίζουμε — 1-е лицо, мн. число
νομίζετε — 2-е лицо, мн. число
νομίζουν — 3-е лицо, мн. число
ξεκινάω — 1-е лицо, ед. число
ξεκινάς — 2-е лицо, ед. число
ξεκινάει — 3-е лицо, ед. число
ξεκινάμε — 1-е лицо, мн. число
ξεκινάτε — 2-е лицо, мн. число
ξεκινάνε — 3-е лицо, мн. число
ξέρω — 1-е лицо, ед. число
ξέρεις — 2-е лицо, ед. число
ξέρει — 3-е лицо, ед. число
ξέρουμε — 1-е лицо, мн. число
ξέρετε — 2-е лицо, мн. число
ξέρουν — 3-е лицо, мн. число
ξεχνάω — 1-е лицо, ед. число
ξεχνάς — 2-е лицо, ед. число
ξεχνάει — 3-е лицо, ед. число
ξεχνάμε — 1-е лицо, мн. число
ξεχνάτε — 2-е лицо, мн. число
ξεχνάνε — 3-е лицо, мн. число
περιλαμβάνεις — 2-е лицо, ед. число
περιλαμβάνουμε — 1-е лицо, мн. число
περιλαμβάνουν — 3-е лицо, мн. число
πιστεύω — 1-е лицо, ед. число
πιστεύει — 3-е лицо, ед. число
πιστεύετε — 2-е лицо, мн. число
πρέπει — безличная форма
προλαβαίνω — 1-е лицо, ед. число
προλαβαίνεις — 2-е лицо, ед. число
προλαβαίνει — 3-е лицо, ед. число
προλαβαίνουμε — 1-е лицо, мн. число
προλαβαίνετε — 2-е лицо, мн. число
προλαβαίνουν — 3-е лицо, мн. число
προσέχω — 1-е лицо, ед. число
προσέχεις — 2-е лицо, ед. число
προσέχει — 3-е лицо, ед. число
προσέχουμε — 1-е лицо, мн. число
προσέχετε — 2-е лицо, мн. число
προσέχουν — 3-е лицо, мн. число
προσθέτω — 1-е лицо, ед. число
προσθέτεις — 2-е лицо, ед. число
προσθέτει — 3-е лицо, ед. число
προσθέτουμε — 1-е лицо, мн. число
προσθέτετε — 2-е лицо, мн. число
προσθέτουν — 3-е лицо, мн. число
προσπαθώ — 1-е лицо, ед. число
προσπαθείς — 2-е лицо, ед. число
προσπαθεί — 3-е лицо, ед. число
προσπαθούμε — 1-е лицо, мн. число
προσπαθείτε — 2-е лицо, мн. число
προσπαθούν — 3-е лицо, мн. число
προτείνω — 1-е лицо, ед. число
προτείνεις — 2-е лицо, ед. число
προτείνει — 3-е лицо, ед. число
προτείνουμε — 1-е лицо, мн. число
προτείνετε — 2-е лицо, мн. число
προτείνουν — 3-е лицо, мн. число
προτιμάω — 1-е лицо, ед. число
προτιμάς — 2-е лицо, ед. число
προτιμάει — 3-е лицо, ед. число
προτιμάμε — 1-е лицо, мн. число
προτιμάτε — 2-е лицо, мн. число
προτιμάνε — 3-е лицо, мн. число
σκέφτομαι — 1-е лицо, ед. число
σκέφτεσαι — 2-е лицо, ед. число
σκέφτεται — 3-е лицо, ед. число
σκεφτόμαστε — 1-е лицо, мн. число
σκέφτεστε — 2-е лицо, мн. число
σκέφτονται — 3-е лицо, мн. число
συγκρίνω — 1-е лицо, ед. число
συγκρίνεις — 2-е лицо, ед. число
συγκρίνει — 3-е лицо, ед. число
συγκρίνουμε — 1-е лицо, мн. число
συγκρίνετε — 2-е лицо, мн. число
συγκρίνουν — 3-е лицо, мн. число
ψάχνεις — 2-е лицо, ед. число
ψάχνουμε — 1-е лицо, мн. число
ψάχνουν — 3-е лицо, мн. число
