αδειάζω — 1-е лицо, ед. число
φωτίζετε — 2-е лицо, мн. число
χάνω — 1-е лицо, ед. число
χάνεις — 2-е лицо, ед. число
χάνει — 3-е лицо, ед. число
χάνουμε — 1-е лицо, мн. число
χάνετε — 2-е лицо, мн. число
χάνουν — 3-е лицо, мн. число
χαρακτηρίζω — 1-е лицо, ед. число
χαρακτηρίζεις — 2-е лицо, ед. число
χαρακτηρίζει — 3-е лицо, ед. число
χαρακτηρίζουμε — 1-е лицо, мн. число
χαρακτηρίζετε — 2-е лицо, мн. число
χαρακτηρίζουν — 3-е лицо, мн. число
