αναγνωρίζω — 1-е лицо, ед. число
συμπληρώνετε — 2-е лицо, мн. число
συμπληρώνουν — 3-е лицо, мн. число
συνεργάζομαι — 1-е лицо, ед. число
συνεργάζεσαι — 2-е лицо, ед. число
συνεργάζεται — 3-е лицо, ед. число
συνεργαζόμαστε — 1-е лицо, мн. число
συνεργάζεστε — 2-е лицо, мн. число
συνεργάζονται — 3-е лицо, мн. число
συνεχίζω — 1-е лицо, ед. число
συνεχίζεις — 2-е лицо, ед. число
συνεχίζει — 3-е лицо, ед. число
συνεχίζουμε — 1-е лицо, мн. число
συνεχίζετε — 2-е лицо, мн. число
συνεχίζουν — 3-е лицо, мн. число
σχεδιάζω — 1-е лицо, ед. число
σχεδιάζεις — 2-е лицо, ед. число
σχεδιάζει — 3-е лицо, ед. число
σχεδιάζουμε — 1-е лицо, мн. число
σχεδιάζετε — 2-е лицо, мн. число
σχεδιάζουν — 3-е лицо, мн. число
υπογραμμίζω — 1-е лицо, ед. число
υπογραμμίζεις — 2-е лицо, ед. число
υπογραμμίζει — 3-е лицо, ед. число
υπογραμμίζουμε — 1-е лицо, мн. число
υπογραμμίζετε — 2-е лицо, мн. число
υπογραμμίζουν — 3-е лицо, мн. число
υπογράφω — 1-е лицо, ед. число
υπογράφεις — 2-е лицо, ед. число
υπογράφει — 3-е лицо, ед. число
υπογράφουμε — 1-е лицо, мн. число
υπογράφετε — 2-е лицо, мн. число
υπογράφουν — 3-е лицо, мн. число
φοιτώ — 1-е лицо, ед. число
φοιτάς — 2-е лицо, ед. число
φοιτά — 3-е лицо, ед. число
φοιτούμε — 1-е лицо, мн. число
φοιτάτε — 2-е лицо, мн. число
φοιτούν — 3-е лицо, мн. число
χρησιμοποιώ — 1-е лицо, ед. число
χρησιμοποιείς — 2-е лицо, ед. число
χρησιμοποιεί — 3-е лицо, ед. число
χρησιμοποιούμε — 1-е лицо, мн. число
χρησιμοποιείτε — 2-е лицо, мн. число
χρησιμοποιούν — 3-е лицо, мн. число
ψάχνω — 1-е лицо, ед. число
ψάχνει — 3-е лицо, ед. число
ψάχνετε — 2-е лицо, мн. число
