αβγό, το
ασφάλεια, η
ασχολία, η
ατζέντα, η
ΑΤΜ, το
άτομο, το
ατύχημα, το
ατυχία, η
αύγουστος, ο
αυλή, η
αϋπνία, η
αύριο, το
Αυστραλή, η
Αυστραλός, ο
Αυστριακή, η
Αυστριακός, ο
αυτί, το
αυτοκίνητο, το
αφεντικό, το
αφετηρία, η
αφετηρία λεωφορείου, η
αφίσα, η
Αφρικανή, η
Αφρικανός, ο
Αφρική, η
βάζο, το
βαθμός, ο
βαλίτσα, η
βάλτος, ο
βαμβάκι, το
βαπόρι, το
βάρος, το
βάση, η
βασιλικός, ο
βασιλόπιτα, η
βάφτιση, η
Βελγίδα, η
Βέλγος, ο
βενζινάδικο, το
βερίκοκο, το
βήμα, το
βήχας, ο
βιβλιάριο, το
βιβλιάριο τράπεζας, το
βιβλίο, το
βιβλιοθήκη, η
βιβλιοπωλείο, το
βιογραφικό, το
βιολί, το
βιτρίνα, η
βοήθεια, η
βόλεϊ, το
βόλτα, η
Βουλγάρα, η
βουλγαρικά, τα
βουλγαρική γλώσσα, η
Βούλγαρος, ο
βουνό, το
βούτυρο, το
βραδιά, η
βραδινό, το
βράδυ, το
Βραζιλιάνα, η
Βραζιλιάνος, ο
βρεφονηπιακός σταθμός, ο
βρομιά, η
βροχή, η
βρύση, η
βυθός, ο
γάζα, η
γάιδαρος, ο
γαϊδούρι, το
γάλα, το
Γαλλίδα, η
γαλλικά, τα
γαλλική γλώσσα, η
Γάλλος, ο
γάμος, ο
γάντι, το
γαριδάκι, το
γαρίφαλο, το
γάτα, η
γείτονας, ο
γειτονιά, η
γειτόνισσα, η
γενέθλια, τα
γέννηση, η
Γερμανίδα, η
γερμανικά, τα
γερμανική γλώσσα, η
Γερμανός, ο
γέρος, ο
γεύμα, το
γεύση, η
γήπεδο, το
γιαγιά, η
γιαλός, ο
γιαούρτι, το
Γιαπωνέζα, η
γιαπωνέζικα, τα
γιαπωνέζικη γλώσσα, η
Γιαπωνέζος, ο
γιασεμί, το
γιατρός, η
γιατρός, ο
γιορτή, η
γιος, ο
γκαράζ, το
γκρίνια, η
γλέντι, το
γλυκό, το
γλώσσα, η
γνώμη, η
γνωριμία, η
γνώση, η
γονείς, οι
γουρούνι, το
γραβάτα, η
γράμμα, το
γραμματέας, η
γραμματέας, ο
γραμματική, η
γραμματοκιβώτιο, το
γραμματόσημο, το
γραμμή, η
γραφείο, το
γραφή, η
γρίπη, η
γυαλί, το
γυαλιά, τα
γυαλιά ηλίου, τα
γυμνάσιο, το
γυμναστήριο, το
γυμναστής, ο
γυμναστική, η
γυμνάστρια, η
γυναίκα, η
γύρος, ο
γωνία, η
δανέζικα, τα
δανέζικη γλώσσα, η
Δανή, η
Δανός, ο
δασκάλα, η
δάσκαλος, ο
δάσος, το
δάφνη, η
δεκέμβριος, ο
δελφίνι, το
δέμα, το
δέντρο, το
δευτέρα, η
δηλητηρίαση, η
δημαρχείο, το
δήμαρχος, η
δήμαρχος, ο
δημητριακά, τα
δημοκρατία, η
δήμος, ο
δημοσιογράφος, η
δημοσιογράφος, ο
δημοτικό σχολείο, το
διάβασμα, το
διαβατήριο, το
διάγραμμα, το
διαγώνισμα, το
διαδικασία, η
διαδίκτυο, το
διαδρομή, η
διάθεση, η
δίαιτα, η
διακοπές, οι
διάλειμμα, το
διάλογος, ο
διαμέρισμα, το
διαμονή, η
διάρκεια, η
διασκέδαση, η
διάστημα, το
διατροφή, η
διαφήμιση, η
διαφορά, η
δίδακτρα, τα
διδασκαλία, η
διεύθυνση, η
διευθυντής, ο
διευθύντρια, η
δικηγόρος, η
δικηγόρος, ο
δίκλινο δωμάτιο, το
δουλειά, η
δουλειές του σπιτιού, οι
Δούναβης, ο
δραματική ταινία, η
δραστηριότητα, η
δρομολόγιο, το
δρόμος, ο
δυάρι, το
δύναμη, η
δυνατότητα, η
δύση, η
δυσκολία, η
δωμάτιο, το
δώρο, το
εαυτός, ο
εβδομάδα, η
εγγονή, η
εγγόνι, το
εγγονός, ο
έγγραφο, το
εγκαίνια, τα
έθιμο, το
εθνικότητα, η
ειδήσεις, οι
ειδικός, η
ειδικός, ο
ειδοποίηση, η
είδος, το
εικόνα, η
ειρήνη, η
εισιτήριο, το
είσοδος, η
εκδήλωση, η
εκδρομή, η
εκκλησία, η
εκπαίδευση, η
έκπληξη, η
εκπομπή, η
εκπτώσεις, οι
έκπτωση, η
εκτίμηση, η
ελαιόλαδο, το
ελληνικά, τα
ελληνική γλώσσα, η
εμπειρία, η
εμπορικό κέντρο, το
εμφάνιση, η
ενδιαφέρον, το
ενικός αριθμός, ο
ενοικίαση, η
ενοίκιο, το
ενότητα, η
εξετάσεις, οι
έξοδος, η
εξοχή, η
εξυπηρέτηση, η
εξωτερικό, το
επάγγελμα, το
επίθετο, το
επικοινωνία, η
επιλογή, η
επίπεδο, το
έπιπλο, το
επίσκεψη, η
επιστήμη, η
επιτραπέζιο παιχνίδι, το
επιτυχία, η
εποχή, η
επώνυμο, το
εργασία, η
εργαστήριο, το
εργοστάσιο, το
έρευνα, η
ερωτηματολόγιο, το
ερώτηση, η
εστιατόριο, το
εταιρεία, η
ετικέτα, η
έτος, το
ευκαιρία, η
ευρώ, το
Ευρωπαία, η
Ευρωπαίος, ο
Ευρώπη, η
ευτυχία, η
ευχή, η
εφέ, τα
έφηβη, η
έφηβος, ο
εφημερίδα, η
εφορία, η
ζαμπόν, το
ζάρια, τα
ζάχαρη, η
ζαχαροπλαστείο, το
ζέστη, η
ζευγάρι, το
Ζηλανδή, η
Ζηλανδός, ο
ζυμαρικό, το
ζωγραφική, η
ζωή, η
ζωντανή μουσική, η
ζώο, το
ηθοποιός, ο
ηλεκτροπληξία, η
ηλικία, η
ηλικιωμένη, η
ηλικιωμένος, ο
ήλιος, ο
ημέρα, η
ημερολόγιο, το
ημερομηνία, η
ησυχία, η
ήχος, ο
θάλασσα, η
θέα, η
θεατής, η
θεατής, ο
θεατρικό έργο, το
θέατρο, το
θεία, η
θείος, ο
θέμα, το
θέρμανση, η
θερμοκρασία, η
θέση, η
θήκη, η
θόρυβος, ο
θρανίο, το
ιανουάριος, ο
ιατρική, η
ιδέα, η
ίδρυμα, το
ικανότητα, η
ίντερνετ, το
ιούλιος, ο
ιούνιος, ο
Ιρλανδή, η
ιρλανδικά, τα
ιρλανδική γλώσσα, η
Ιρλανδός, ο
Ισλανδή, η
ισλανδικά, τα
ισλανδική γλώσσα, η
Ισλανδός, ο
ισόγειο, το
Ισπανίδα, η
ισπανικά, τα
ισπανική γλώσσα, η
Ισπανός, ο
Ισραηλινή, η
Ισραηλινός, ο
ιστορία, η
ιστοσελίδα, η
Ιταλίδα, η
ιταλικά, τα
ιταλική γλώσσα, η
Ιταλός, ο
κάγκελο, το
κάδρο, το
καθαριστικό, το
καθηγητής, ο
καθηγήτρια, η
καθρέφτης, ο
καθυστέρηση, η
καιρός, ο
καλαμπόκι, το
κάλαντα, τα
καλλιτέχνης, η
καλλιτέχνης, ο
καλλυντικό, το
καλοκαίρι, το
καλοριφέρ, το
κάλτσα, η
κάμπινγκ, το
Καναδή, η
Καναδός, ο
κανάλι, το
καναπές, ο
κανόνας, ο
καπέλο, το
καράβι, το
καρδιά, η
καρδιολόγος, η
καρδιολόγος, ο
καρέκλα, η
καρναβάλι, το
καρότο, το
καρπούζι, το
κάρτα, η
καρύδι, το
κασέρι, το
κασετίνα, η
κασκόλ, το
κάστρο, το
κατάθεση, η
καταιγίδα, η
κατάλογος, ο
κατανόηση γραπτού λόγου, η
κατανόηση προφορικού λόγου, η
κατασκήνωση, η
κατάσταση, η
κατάστημα, το
κατεύθυνση, η
κατηγορία, η
κατοικία, η
κάτοικος, η
κάτοικος, ο
κατσαρόλα, η
κατσίκα, η
καφές, ο
καφετέρια, η
κέικ, το
κείμενο, το
κελί, το
κενό, το
κέντρο, το
κεράσι, το
κεραυνός, ο
κεφαλαίο γράμμα, το
κεφάλι, το
κήπος, ο
κιθάρα, η
κιλό, το
κίνδυνος, ο
Κινέζα, η
κινέζικα, τα
κινεζική γλώσσα, η
Κινέζος, ο
κινηματογράφος, ο
κίνηση, η
κινητό τηλέφωνο, το
κλειδί, το
λέξη-κλειδί, η
κλέφτης, ο
κλέφτρα, η
κλίμα, το
κλόουν, ο
κλοπή, η
κοιλιά, η
κόκορας, ο
κολοκυθάκι, το
κολόνα, η
κολυμβητήριο, το
κολύμπι, το
κομμάτι, το
κομμωτήριο, το
κομμωτής, ο
κομμώτρια, η
κοπέλα, η
Κορεάτης, ο
κορεάτικα, τα
κορεατική γλώσσα, η
Κορεάτισσα, η
κόρη, η
κορίτσι, το
κορνίζα, η
κορόιδο, το
κορυφή, η
κόσμημα, το
κόσμος, ο
κοστούμι, το
κότα, η
κοτόπουλο, το
κουβέρτα, η
κουδούνι, το
κουζίνα, η
κούκλα, η
κουμπάρα, η
κουμπάρος, ο
κουνέλι, το
κουνουπίδι, το
κούραση, η
κουρτίνα, η
κουταλιά, η
κουτί, το
κρανίο, το
κρασί, το
κρέας, το
κρεβάτι, το
κρέμα, η
κρεμμύδι, το
κρεοπωλείο, το
κρεοπώλης, ο
κριθάρι, το
κρύο, το
κρυπτόλεξο, το
κτίριο, το
κύκλος, ο
κυλικείο, το
κύμα, το
κυρία, η
κυριακή, η
κύριος, ο
λαβύρινθος, ο
λαγός, ο
λάδι, το
λάθος, το
λαϊκή αγορά, η
λαϊκή μουσική, η
λαιμός, ο
λάτιν χορός, ο
λαχανικά, τα
λαχανικό, το
λάχανο, το
λειτουργία, η
λεκές, ο
λεμονάδα, η
λεμόνι, το
λέξη, η
λεξικό, το
λεξιλόγιο, το
λεπτό, το
λεπτομέρεια, η
λεφτά, τα
λεωφορείο, το
ληξιαρχείο, το
λιακάδα, η
λιμάνι, το
λίμνη, η
λιπαρά, τα
λίστα, η
λογαριασμός, ο
λόγια, τα
λόγος, ο
λογοτεχνία, η
λουλούδι, το
λύκειο, το
λύκος, ο
λύπη, η
λύση, η
μαγαζί, το
μάγειρας, ο
μαγειρική, η
μαγειρική σόδα, η
μαγιό, το
μάθημα, το
μαθηματικά, τα
μαθητής, ο
μαθήτρια, η
μάιος, ο
μακαρόνια, τα
μαλλιά, τα
μαμά, η
μανάβης, ο
μανάβικο, το
μαξιλάρι, το
μάρκα αυτοκινήτου, η
μαρούλι, το
μάρτιος, ο
μάρτυρας, η
μάρτυρας, ο
μάσκα, η
μάσκα ομορφιάς, η
μάτι, το
μαχαίρι, το
μέγαρο, το
μέγεθος, το
μεζές, ο
μέλη του σώματος, τα
μέλι, το
μελιτζάνα, η
μέλλον, το
μέρα, η
μέρος, το
μέσα μεταφοράς, τα
μέση, η
μεσημέρι, το
μεσημεριανό, το
μεσίτης, ο
μεσίτρια, η
μέσο, το
μετακίνηση, η
μεταφορικό μέσο, το
μετρητά, τα
μέτρο, το
μετρό, το
μηδέν, το
μηλιά, η
μήλο, το
μήνας, ο
μήνυμα, το
μητέρα, η
μητρική γλώσσα, η
μηχανή, η
μηχανικός, η
μηχανικός, ο
μικρόφωνο, το
μισθός, ο
μνημείο, το
μνήμη, η
μόδα, η
μολύβι, το
μονοκατοικία, η
μονόκλινο δωμάτιο, το
μουσακάς, ο
μουσείο, το
μουσική, η
μουσικό κουτί, το
μουσικό όργανο, το
μουσικός, η
μουσικός, ο
μπακάλης, ο
μπακλαβάς, ο
μπάλα, η
μπαλέτο, το
μπαλκόνι, το
μπαμπάς, ο
μπανάνα, η
μπανιέρα, η
μπάνιο, το
μπαρ, το
μπάσκετ, το
μπίρα, η
μπιφτέκι, το
μπλούζα, η
μπουκάλι, το
μπουφάν, το
μπριζόλα, η
μπρόκολο, το
μπύρα, η
μυαλό, το
μυστικό, το
μύτη, η
μωρό, το
ναός, ο
νέα, τα
νερό, το
νηπιαγωγείο, το
νησί, το
νικητής, ο
νικήτρια, η
νοέμβριος, ο
νόημα, το
νονά, η
νονός, ο
Νορβηγίδα, η
νορβηγικά, τα
νορβηγική γλώσσα, η
Νορβηγός, ο
νοσοκόμα, η
νοσοκομείο, το
νοσοκόμος, ο
νότα, η
νούμερο, το
νταντά, η
ντοκιμαντέρ, το
ντομάτα, η
ντόνατ, το
ντουλάπα, η
ντουλάπι, το
ντραμς, τα
νυφικό, το
νύχτα, η
ξαδέρφη, η
ξάδερφος, ο
ξένη, η
ξενοδοχείο, το
ξένος, ο
ξενώνας, ο
ξηρός καρπός, ο
ξύδι, το
ξύλο, το
ξύστρα, η
οδηγία, η
οδηγός, η
οδηγός, ο
οδοντίατρος, η
οδοντίατρος, ο
οδοντογλυφίδα, η
οδός, η
οικογένεια, η
οικογενειακή κατάσταση, η
οικογενειακό δέντρο, το
οικοδομή, η
οινόπνευμα, το
οκτώβριος, ο
Ολλανδή, η
ολλανδικά, τα
ολλανδική γλώσσα, η
Ολλανδός, ο
Όλυμπος, ο
ομάδα, η
ομιλητής, ο
ομιλήτρια, η
ομίχλη, η
ομοιότητα, η
ομορφιά, η
ομπρέλα, η
όνειρο, το
όνομα, το
ονοματεπώνυμο, το
οξυγόνο, το
όπερα, η
όροφος, ο
όσπριο, το
ουζερί, το
ούζο, το
ουρανός, ο
πάγκος, ο
πάγος, ο
παγωνιά, η
παγωτό, το
παζλ, το
παθολόγος, η
παθολόγος, ο
παιδί, το
παιδιά, τα
παιδίατρος, η
παιδίατρος, ο
παιχνίδι, το
πακέτο, το
παλτό, το
πανεπιστήμιο, το
πανσέληνος, η
παντελόνι, το
παντζάρι, το
παντομίμα, η
παντόφλα, η
παντρεμένη, η
παντρεμένος, ο
πάπλωμα, το
παπούτσι, το
παππούς, ο
παραγγελία, η
παράδειγμα, το
παράθυρο, το
παραλία, η
παραμονή, η
παραμύθι, το
παράπονο, το
παρασκευή, η
παράσταση, η
παρατήρηση, η
παρέα, η
πάρκινγκ, το
πάρκο, το
παροιμία, η
πάρτι, το
πάστα, η
Πάσχα, το
πατάτα, η
πατατάκια, τα
πατέρας, ο
πάτωμα, το
πεζοδρόμιο, το
πελάτης, ο
πελάτισσα, η
πέμπτη, η
πεντάγραμμο, το
πεπόνι, το
περιβάλλον, το
περιοδικό, το
περιοχή, η
περίπτερο, το
περίπτωση, η
πετρέλαιο, το
πετσέτα, η
πιάνο, το
πιάτο, το
πιάτσα ταξί, η
πίνακας, ο
πιπέρι, το
πιπεριά, η
πιρούνι, το
πισίνα, η
πιστοποιητικό, το
πιστωτική κάρτα, η
πιτζάμες, οι
πίτσα, η
πλανήτης, ο
πλατεία, η
πληγή, η
πληθυντικός αριθμός, ο
πληροφορία, η
πλοίο, το
πλυντήριο, το
ποδήλατο, το
πόδι, το
ποδιά, η
ποδόσφαιρο, το
ποίηση, η
ποιότητα, η
πόλη, η
πολίτης, ο
πολιτισμός, ο
πολυθρόνα, η
πολυκατάστημα, το
πολυκατοικία, η
πονόδοντος, ο
πονοκέφαλος, ο
πόνος, ο
ποντίκι, το
ποντίκια, τα
πόρτα, η
Πορτογαλίδα, η
Πορτογάλος, ο
πορτοκαλάδα, η
πορτοκάλι, το
πορτοκαλιά, η
πορτοφόλι, το
ποτήρι, το
ποτό, το
πουκάμισο, το
πουλί, το
πράγμα, το
πραγματικότητα, η
πράξη, η
πρεμιέρα, η
πρίζα, η
πρόβλημα, το
προβολή, η
πρόγραμμα, το
προετοιμασία, η
προϊόν, το
πρόκληση, η
προορισμός, ο
πρόσκληση, η
προσοχή, η
πρόσωπο, το
πρόταση, η
προφορά, η
πρωί, το
πρωινό γεύμα, το
Πρωτομαγιά, η
Πρωτοχρονιά, η
πτήση, η
πύργος, ο
πυρετός, ο
πυροσβεστική, η
πωλητής, ο
πωλήτρια, η
ραδιοφωνική εκπομπή, η
ραδιοφωνικός σταθμός, ο
ραδιόφωνο, το
ραντεβού, το
ράτσα ζώου, η
ρεπό, το
ρεσιτάλ, το
ρεύμα, το
ρίγανη, η
ροκ μουσική, η
ρολόι, το
ρόλος, ο
ρούχο, το
ρύζι, το
ρυθμός, ο
Ρωσίδα, η
ρωσικά, τα
ρωσική γλώσσα, η
Ρώσος, ο
σάββατο, το
σαββατοκύριακο, το
σακάκι, το
σακούλα, η
σαλάμι, το
σαλάτα, η
σαλόνι, το
σαμπάνια, η
σαμπουάν, το
σάντουιτς, το
σαπούνι, το
σβήστρα, η
σειρά, η
σελίδα, η
σενάριο, το
σεντόνι, το
σεπτέμβριος, ο
σερβιτόρα, η
σερβιτόρος, ο
σημασία, η
σημείωμα, το
σημείωση, η
σινεμά, το
σκάλα, η
σκάλες, οι
σκέψη, η
σκηνή, η
σκηνικό, το
σκηνοθέτης, η
σκηνοθέτης, ο
σκίτσο, το
σκόνη, η
σκοπός, ο
σκόρδο, το
σκουπίδι, το
σκουφί, το
σκούφος, ο
σκύλος, ο
σόι, το
σοκολάτα, η
σοκολατάκι, το
σοπράνο, η
σουβλάκι, το
Σουηδή, η
σουηδικά, τα
σουηδική γλώσσα, η
Σουηδός, ο
σούπα, η
σούπερ μάρκετ, το
σπανάκι, το
σπήλαιο, το
σπηλιά, η
σπίτι, το
σπουδές, οι
σπυρί, το
σταγόνα, η
σταθμός, ο
στάση λεωφορείου, η
σταυρόλεξο, το
σταφύλι, το
στήλη, η
στιγμή, η
στιλ, το
στιλό, το
στίχος, ο
στοιχείο, το
στολίδι, το
στόμα, το
στομάχι, το
στρώμα, το
συγγνώμη, η
συγγραφέας, η
συγγραφέας, ο
συγκάτοικος, η
συγκάτοικος, ο
σύγκριση, η
συγκρότημα, το
συγχαρητήρια, τα
συζήτηση, η
συλλυπητήρια, τα
συμβουλή, η
συμμαθητής, ο
συμμαθήτρια, η
συμπεριφορά, η
συμφοιτητής, ο
συμφοιτήτρια, η
σύμφωνο, το
συνάδελφος, η
συνάδελφος, ο
συνάντηση, η
συναυλία, η
συνέντευξη, η
συνεργασία, η
συνεργείο, το
συνέχεια, η
συνήθεια, η
συνθέτης, η
συνθέτης, ο
σύννεφο, το
συνταγή, η
συρτάκι, το
συρτάρι, το
συσκευή, η
συστημένο γράμμα, το
σφραγίδα, η
σχεδιάγραμμα, το
σχέση, η
σχολείο, το
σχολή, η
σχολική τσάντα, η
σχολική χρονιά, η
σώμα, το
ταβέρνα, η
τάγκο, το
ταινία, η
ταλέντο, το
ταμείο, το
ταμίας, ο
τάξη, η
ταξί, το
ταξίδι, το
ταξιδιωτικό γραφείο, το
ταράτσα, η
ταχυδρομείο, το
ταψί, το
τελεία, η
τέλος, το
τένις, το
τέρμα λεωφορείου, το
τετάρτη, η
τετράγωνο, το
τετράδιο, το
τέχνη, η
τζαζ, η
τζάκι, το
τζάμι, το
τζαμί, το
τζιν, το
τηγάνι, το
τηλεόραση, η
τηλεφώνημα, το
τηλέφωνο, το
τιμή, η
τίτλος, ο
τοίχος, ο
τόμος, ο
τόνος, ο
τοποθεσία, η
τόπος, ο
τουαλέτα, η
τουρισμός, ο
τουρίστας, ο
τουρίστρια, η
Τουρκάλα, η
τουρκικά, τα
τουρκική γλώσσα, η
Τούρκος, ο
τούρτα, η
τραγούδι, το
τραγουδιστής, ο
τραγουδίστρια, η
τράπεζα, η
τραπέζι, το
τραπεζομάντιλο, το
τρένο, το
τρέξιμο, το
τριανταφυλλιά, η
τρίγωνο, το
τρίτη, η
τρόπος, ο
τροφή, η
τρόφιμα, τα
Τροχαία, η
τσάι, το
τσάντα, η
τσιγάρο, το
τσίχλα, η
τύπος, ο
τυρί, το
υγεία, η
υδράργυρος, ο
υλικό, το
υπάλληλος, η
υπάλληλος, ο
υπερωρία, η
υπηρεσία, η
υπνοδωμάτιο, το
ύπνος, ο
υπογραφή, η
υπολογιστής, ο
υπομονή, η
υπουργείο, το
υποψήφια, η
υποψήφιος, ο
ύφασμα, το
ύψος, το
φαγητό, το
φάκελος, ο
φακή, η
φανέλα, η
φαξ, το
φαρμακείο, το
φάρμακο, το
φαρμακοποιός, η
φαρμακοποιός, ο
φασαρία, η
φασολάκι, το
φασόλι, το
φεβρουάριος, ο
φέιγ βολάν, το
φεστιβάλ, το
φέτα, η
φήμη, η
φθινόπωρο, το
φθόγγος, ο
φίλη, η
φιλί, το
φιλολογία, η
φίλος, ο
Φινλανδή, η
φινλανδικά, τα
φινλανδική γλώσσα, η
Φινλανδός, ο
φλιτζάνι, το
φοιτητής, ο
φοιτήτρια, η
φορά, η
φόρεμα, το
φόρμα, η
φορτίο, το
φουντούκι, το
φούρναρης, ο
φουρνάρισσα, η
φούρνος, ο
φούστα, η
φουστάνι, το
φράση, η
φροντίδα, η
φρούτο, το
φτερό, το
φυλλάδιο, το
φύλλο, το
φύλο, το
φύση, η
φυσικό αέριο, το
φυτό, το
φωνή, η
φως, το
φωτιά, η
φωτιστικό, το
φωτογραφία, η
φωτογραφική μηχανή, η
φωτογράφος, η
φωτογράφος, ο
χάδι, το
χαιρετίσματα, τα
χαιρετισμοί, οι
χαιρετισμός, ο
χαλί, το
χαμάμ, το
χαμόγελο, το
χαμομήλι, το
χάπι, το
χαρά, η
χάρακας, ο
χαρακτήρας, ο
χάρτης, ο
χαρτί, το
χαρτοπετσέτα, η
χειμώνας, ο
χειρονομία, η
χειρουργός, η
χειρουργός, ο
χέρι, το
χιλιόμετρο, το
χιόνι, το
χολ, το
χόμπι, το
χορευτής, ο
χορεύτρια, η
χορός, ο
χρήματα, τα
χρήση, η
χρησιμότητα, η
χρήστης, ο
Χριστούγεννα, τα
χριστουγεννιάτικο δέντρο, το
χρονιά, η
χρόνος, ο
χρώμα, το
χυμός, ο
χώρα, η
χωριάτικη σαλάτα, η
χωριό, το
χώρος, ο
ψάθα, η
ψαλίδι, το
ψάρι, το
ψέμα, το
ψυγείο, το
ψωμί, το
ψώνια, τα
ωδείο, το
ώρα, η
ωράριο, το
